向第三个中输入斯黛拉 {"command":"input_text","vindex":"三","text":"斯黛拉","mode":0}
把第四十四个向左滑 {"command":"swipe","vindex":"四十四","direction":"左"}
帮我查看第五十六个 {"command":"click","vindex":"五十六","mode":0}
向左移动第六个 {"command":"swipe","vindex":"六","direction":"左"}
添加身体要坏了还能治到第二十八个 {"command":"input_text","vindex":"二十八","text":"身体要坏了还能治","mode":0}
按一下第十二个 {"command":"click","vindex":"十二","mode":0}
帮我输入我就该怀疑你对她一见钟情了到第八个 {"command":"input_text","vindex":"八","text":"我就该怀疑你对她一见钟情了","mode":0}
查看第四十个 {"command":"click","vindex":"四十","mode":0}
向第二十个尾部添加他能找到工作你找我干嘛 {"command":"input_text","vindex":"二十","text":"他能找到工作你找我干嘛","mode":0}
点击第五个 {"command":"click","vindex":"五","mode":0}
给我添加不是吧程皓到第二十四个 {"command":"input_text","vindex":"二十四","text":"不是吧程皓","mode":0}
给我下滑第四十二个 {"command":"swipe","vindex":"四十二","direction":"下"}
帮我向左滑动第四十八个 {"command":"swipe","vindex":"四十八","direction":"左"}
请输入先想想要是没给怎么办到第五十七个 {"command":"input_text","vindex":"五十七","text":"先想想要是没给怎么办","mode":0}
看下第三十六个 {"command":"click","vindex":"三十六","mode":0}
请向右移动第十七个 {"command":"swipe","vindex":"十七","direction":"右"}
帮我下滑第三十三个 {"command":"swipe","vindex":"三十三","direction":"下"}
添加跟你妈闹起来了到第五十三个 {"command":"input_text","vindex":"五十三","text":"跟你妈闹起来了","mode":0}
向第十六个尾部输入一直单身 {"command":"input_text","vindex":"十六","text":"一直单身","mode":0}
请把第四十三个向下滑 {"command":"swipe","vindex":"四十三","direction":"下"}
查看第十一个 {"command":"click","vindex":"十一","mode":0}
第五十二个往上 {"command":"swipe","vindex":"五十二","direction":"上"}
向第二十九个中输入那么多钱全给抢手了 {"command":"input_text","vindex":"二十九","text":"那么多钱全给抢手了","mode":0}
右滑第十一个 {"command":"swipe","vindex":"十一","direction":"右"}
请把第四个向上滑 {"command":"swipe","vindex":"四","direction":"上"}
向第十五个尾部添加我今天回家的时候在沙发底下发现一个钥匙扣 {"command":"input_text","vindex":"十五","text":"我今天回家的时候在沙发底下发现一个钥匙扣","mode":0}
帮我输入说的不错到第三十七个 {"command":"input_text","vindex":"三十七","text":"说的不错","mode":0}
把第四十四个向左滑 {"command":"swipe","vindex":"四十四","direction":"左"}
帮我向下移动第二十三个 {"command":"swipe","vindex":"二十三","direction":"下"}
向上滑动第五十八个 {"command":"swipe","vindex":"五十八","direction":"上"}
添加我一定见贤思齐到第三十五个 {"command":"input_text","vindex":"三十五","text":"我一定见贤思齐","mode":0}
把第三十九个向上滑 {"command":"swipe","vindex":"三十九","direction":"上"}
第五十九个下滑 {"command":"swipe","vindex":"五十九","direction":"下"}
向第二十七个中输入拿着但凡你刚才说声对不起 {"command":"input_text","vindex":"二十七","text":"拿着但凡你刚才说声对不起","mode":0}
给我向上滑动第五十二个 {"command":"swipe","vindex":"五十二","direction":"上"}
看下第五十三个 {"command":"click","vindex":"五十三","mode":0}
请向第四十二个中输入没有的事 {"command":"input_text","vindex":"四十二","text":"没有的事","mode":0}
添加差不多吧到第四十八个 {"command":"input_text","vindex":"四十八","text":"差不多吧","mode":0}
帮我向第四十六个尾部输入时间长了 {"command":"input_text","vindex":"四十六","text":"时间长了","mode":0}
向第二个中输入直接奔着校领导的位置就去了 {"command":"input_text","vindex":"二","text":"直接奔着校领导的位置就去了","mode":0}
帮我把第五十一个向上滑 {"command":"swipe","vindex":"五十一","direction":"上"}
看下第二十三个 {"command":"click","vindex":"二十三","mode":0}
帮我查看第五十二个 {"command":"click","vindex":"五十二","mode":0}
帮我第十二个下滑 {"command":"swipe","vindex":"十二","direction":"下"}
请向第四十六个尾部输入跟你没关系 {"command":"input_text","vindex":"四十六","text":"跟你没关系","mode":0}
向上滑动第十六个 {"command":"swipe","vindex":"十六","direction":"上"}
帮我点击第四十四个 {"command":"click","vindex":"四十四","mode":0}
给我向第三十三个中输入明白 {"command":"input_text","vindex":"三十三","text":"明白","mode":0}
请打开第二十五个 {"command":"click","vindex":"二十五","mode":0}
给我向第六个尾部输入这是你在补习班画的 {"command":"input_text","vindex":"六","text":"这是你在补习班画的","mode":0}
请打开第四个 {"command":"click","vindex":"四","mode":0}
按一下第三十八个 {"command":"click","vindex":"三十八","mode":0}
帮我按一下第二十二个 {"command":"click","vindex":"二十二","mode":0}
向下移动第四十六个 {"command":"swipe","vindex":"四十六","direction":"下"}
下滑第五十八个 {"command":"swipe","vindex":"五十八","direction":"下"}
帮我查看第二十个 {"command":"click","vindex":"二十","mode":0}
请第四十八个往下 {"command":"swipe","vindex":"四十八","direction":"下"}
向第五十四个尾部输入行了快睡快睡 {"command":"input_text","vindex":"五十四","text":"行了快睡快睡","mode":0}
查看第四十三个 {"command":"click","vindex":"四十三","mode":0}
向右移动第五十九个 {"command":"swipe","vindex":"五十九","direction":"右"}
给我看下第五十八个 {"command":"click","vindex":"五十八","mode":0}
帮我把第五十六个向右滑 {"command":"swipe","vindex":"五十六","direction":"右"}
请右滑第五个 {"command":"swipe","vindex":"五","direction":"右"}
给我第二十九个上滑 {"command":"swipe","vindex":"二十九","direction":"上"}
帮我向左滑动第十八个 {"command":"swipe","vindex":"十八","direction":"左"}
打开第二十九个 {"command":"click","vindex":"二十九","mode":0}
第四十六个往下 {"command":"swipe","vindex":"四十六","direction":"下"}
帮我第三十个右滑 {"command":"swipe","vindex":"三十","direction":"右"}
帮我向第十四个尾部添加再说了学生那点小动作 {"command":"input_text","vindex":"十四","text":"再说了学生那点小动作","mode":0}
向第三十六个尾部输入那老梁呢 {"command":"input_text","vindex":"三十六","text":"那老梁呢","mode":0}
添加他说要跟你一起结伴回家到第四十二个 {"command":"input_text","vindex":"四十二","text":"他说要跟你一起结伴回家","mode":0}
帮我向第五十八个中输入所以我有什么事就会躲到这里来 {"command":"input_text","vindex":"五十八","text":"所以我有什么事就会躲到这里来","mode":0}
向第四个尾部输入人均活动面积平均不足两平米 {"command":"input_text","vindex":"四","text":"人均活动面积平均不足两平米","mode":0}
向第五个尾部输入我觉得这事还得冷静处理 {"command":"input_text","vindex":"五","text":"我觉得这事还得冷静处理","mode":0}
请查看第五十三个 {"command":"click","vindex":"五十三","mode":0}
帮我向第四十四个尾部输入也不用理他 {"command":"input_text","vindex":"四十四","text":"也不用理他","mode":0}
请查看第五十二个 {"command":"click","vindex":"五十二","mode":0}
第三十二个往左 {"command":"swipe","vindex":"三十二","direction":"左"}
帮我第十三个下滑 {"command":"swipe","vindex":"十三","direction":"下"}
帮我输入整天跟个棒槌似的把那往那么一杵到第四十六个 {"command":"input_text","vindex":"四十六","text":"整天跟个棒槌似的把那往那么一杵","mode":0}
帮我向第五十六个尾部输入是啊 {"command":"input_text","vindex":"五十六","text":"是啊","mode":0}
向第五个尾部输入这不都是高三一年修炼出来的 {"command":"input_text","vindex":"五","text":"这不都是高三一年修炼出来的","mode":0}
向第四十九个尾部添加再大 {"command":"input_text","vindex":"四十九","text":"再大","mode":0}
帮我第二十四个往上 {"command":"swipe","vindex":"二十四","direction":"上"}
帮我查看第五十个 {"command":"click","vindex":"五十","mode":0}
请打开第二十四个 {"command":"click","vindex":"二十四","mode":0}
向第三十三个尾部添加对吧 {"command":"input_text","vindex":"三十三","text":"对吧","mode":0}
添加自己磕的到第四十六个 {"command":"input_text","vindex":"四十六","text":"自己磕的","mode":0}
向第三十六个尾部添加印度吗 {"command":"input_text","vindex":"三十六","text":"印度吗","mode":0}
把第二十一个向上滑 {"command":"swipe","vindex":"二十一","direction":"上"}
输入好那那师姐您能告诉我现在应该从哪下手吗到第二个 {"command":"input_text","vindex":"二","text":"好那那师姐您能告诉我现在应该从哪下手吗","mode":0}
第十二个点击 {"command":"click","vindex":"十二","mode":0}
向第四十九个尾部输入穿花裙子 {"command":"input_text","vindex":"四十九","text":"穿花裙子","mode":0}
点击第二十七个 {"command":"click","vindex":"二十七","mode":0}
请向左移动第四十七个 {"command":"swipe","vindex":"四十七","direction":"左"}
向第二十四个尾部输入北京的11月初最容易得感冒了 {"command":"input_text","vindex":"二十四","text":"北京的11月初最容易得感冒了","mode":0}
请向第五十二个尾部输入我们是邻居 {"command":"input_text","vindex":"五十二","text":"我们是邻居","mode":0}
请添加他不敢回老宅到第三十四个 {"command":"input_text","vindex":"三十四","text":"他不敢回老宅","mode":0}
给我向第十六个中输入我是为了出人头地过好日子 {"command":"input_text","vindex":"十六","text":"我是为了出人头地过好日子","mode":0}
查看第四十五个 {"command":"click","vindex":"四十五","mode":0}
第十二个往左 {"command":"swipe","vindex":"十二","direction":"左"}
给我向左移动第四十九个 {"command":"swipe","vindex":"四十九","direction":"左"}
第二十九个往下 {"command":"swipe","vindex":"二十九","direction":"下"}
帮我向第六个中输入你也不想想自己的处境 {"command":"input_text","vindex":"六","text":"你也不想想自己的处境","mode":0}
请把第五十三个向下滑 {"command":"swipe","vindex":"五十三","direction":"下"}
请进入第二十一个 {"command":"click","vindex":"二十一","mode":0}
帮我向左滑动第四十个 {"command":"swipe","vindex":"四十","direction":"左"}
进入第二十个 {"command":"click","vindex":"二十","mode":0}
向第三十八个尾部添加分了 {"command":"input_text","vindex":"三十八","text":"分了","mode":0}
给我添加还是祖国好啊到第三十九个 {"command":"input_text","vindex":"三十九","text":"还是祖国好啊","mode":0}
帮我查看第七个 {"command":"click","vindex":"七","mode":0}
打开第四十八个 {"command":"click","vindex":"四十八","mode":0}
添加打在你们这些老太太身上简直成了馊鸡血了到第二十一个 {"command":"input_text","vindex":"二十一","text":"打在你们这些老太太身上简直成了馊鸡血了","mode":0}
查看第三十五个 {"command":"click","vindex":"三十五","mode":0}
给我点击第五十三个 {"command":"click","vindex":"五十三","mode":0}
请看下第十个 {"command":"click","vindex":"十","mode":0}
给我看下第五十七个 {"command":"click","vindex":"五十七","mode":0}
给我按一下第四十五个 {"command":"click","vindex":"四十五","mode":0}
输入对到第四十六个 {"command":"input_text","vindex":"四十六","text":"对","mode":0}
给我向第三个尾部添加你是一个青春期的孩子 {"command":"input_text","vindex":"三","text":"你是一个青春期的孩子","mode":0}
帮我第二十四个往下 {"command":"swipe","vindex":"二十四","direction":"下"}
请看下第五十九个 {"command":"click","vindex":"五十九","mode":0}
按一下第十个 {"command":"click","vindex":"十","mode":0}
第六十个点击 {"command":"click","vindex":"六十","mode":0}
添加你知道了他是我们老板的朋友来的到第七个 {"command":"input_text","vindex":"七","text":"你知道了他是我们老板的朋友来的","mode":0}
向第二十七个中输入你就给他弄个红烧肉 {"command":"input_text","vindex":"二十七","text":"你就给他弄个红烧肉","mode":0}
帮我把第三十七个向下滑 {"command":"swipe","vindex":"三十七","direction":"下"}
帮我输入好好这是领导这是给人管事的到第五十八个 {"command":"input_text","vindex":"五十八","text":"好好这是领导这是给人管事的","mode":0}
给我添加对吧到第四十四个 {"command":"input_text","vindex":"四十四","text":"对吧","mode":0}
向第九个中输入男朋友是真心相爱的 {"command":"input_text","vindex":"九","text":"男朋友是真心相爱的","mode":0}
下滑第四十五个 {"command":"swipe","vindex":"四十五","direction":"下"}
给我向第三十九个尾部输入这么小就看这个 {"command":"input_text","vindex":"三十九","text":"这么小就看这个","mode":0}
向第五十一个尾部添加他就说高考一完物归原主 {"command":"input_text","vindex":"五十一","text":"他就说高考一完物归原主","mode":0}
帮我向上移动第九个 {"command":"swipe","vindex":"九","direction":"上"}
向第六个尾部输入找我 {"command":"input_text","vindex":"六","text":"找我","mode":0}
给我点击第十二个 {"command":"click","vindex":"十二","mode":0}
进入第三十三个 {"command":"click","vindex":"三十三","mode":0}
请把第五十九个向左滑 {"command":"swipe","vindex":"五十九","direction":"左"}
向第二十一个尾部添加她一会回来我跟他严肃认真谈一谈 {"command":"input_text","vindex":"二十一","text":"她一会回来我跟他严肃认真谈一谈","mode":0}
帮我第一个往左 {"command":"swipe","vindex":"一","direction":"左"}
帮我查看第三个 {"command":"click","vindex":"三","mode":0}
把第四个向左滑 {"command":"swipe","vindex":"四","direction":"左"}
给我第三十五个左滑 {"command":"swipe","vindex":"三十五","direction":"左"}
请点击第十一个 {"command":"click","vindex":"十一","mode":0}
打开第五十九个 {"command":"click","vindex":"五十九","mode":0}
给我打开第二十六个 {"command":"click","vindex":"二十六","mode":0}
添加怪不得离到第二十六个 {"command":"input_text","vindex":"二十六","text":"怪不得离","mode":0}
给我把第五十一个向右滑 {"command":"swipe","vindex":"五十一","direction":"右"}
请向第五十一个尾部输入你竞争经理还是很有优势的 {"command":"input_text","vindex":"五十一","text":"你竞争经理还是很有优势的","mode":0}
查看第四十八个 {"command":"click","vindex":"四十八","mode":0}
向下移动第二十九个 {"command":"swipe","vindex":"二十九","direction":"下"}
帮我向第十九个尾部添加你的外卖你怎么知道这是我的外卖 {"command":"input_text","vindex":"十九","text":"你的外卖你怎么知道这是我的外卖","mode":0}
向第三十一个中输入这个还分国籍 {"command":"input_text","vindex":"三十一","text":"这个还分国籍","mode":0}
帮我向第四十一个尾部添加肥水不流外人田 {"command":"input_text","vindex":"四十一","text":"肥水不流外人田","mode":0}
向第五十二个中输入让我们好好算一下 {"command":"input_text","vindex":"五十二","text":"让我们好好算一下","mode":0}
点击第十二个 {"command":"click","vindex":"十二","mode":0}
给我向第二十六个中输入这一次我一定要成功 {"command":"input_text","vindex":"二十六","text":"这一次我一定要成功","mode":0}
请输入是不是到第二十四个 {"command":"input_text","vindex":"二十四","text":"是不是","mode":0}
请第三十二个左滑 {"command":"swipe","vindex":"三十二","direction":"左"}
上滑第十六个 {"command":"swipe","vindex":"十六","direction":"上"}
给我添加我是做书记的也没有下来抽空跟你聊聊天到第九个 {"command":"input_text","vindex":"九","text":"我是做书记的也没有下来抽空跟你聊聊天","mode":0}
添加能够坐垫加热的到第七个 {"command":"input_text","vindex":"七","text":"能够坐垫加热的","mode":0}
请向第六十个中输入莹莹怎么了 {"command":"input_text","vindex":"六十","text":"莹莹怎么了","mode":0}
帮我查看第四十五个 {"command":"click","vindex":"四十五","mode":0}
第三十四个点击 {"command":"click","vindex":"三十四","mode":0}
向上滑动第二十六个 {"command":"swipe","vindex":"二十六","direction":"上"}
请添加接不接受是你的事到第十一个 {"command":"input_text","vindex":"十一","text":"接不接受是你的事","mode":0}
给我按一下第九个 {"command":"click","vindex":"九","mode":0}
向第四十六个尾部输入我觉得这个项目很有挑战 {"command":"input_text","vindex":"四十六","text":"我觉得这个项目很有挑战","mode":0}
第二十八个往左 {"command":"swipe","vindex":"二十八","direction":"左"}
向右滑动第三十一个 {"command":"swipe","vindex":"三十一","direction":"右"}
请向第五十八个尾部添加可是我又不认识又有特点又有故事的人啊 {"command":"input_text","vindex":"五十八","text":"可是我又不认识又有特点又有故事的人啊","mode":0}
输入你怎么问这么多问题到第二十六个 {"command":"input_text","vindex":"二十六","text":"你怎么问这么多问题","mode":0}
帮我输入我这有一个特别好的投资项目到第五十八个 {"command":"input_text","vindex":"五十八","text":"我这有一个特别好的投资项目","mode":0}
帮我向下移动第二十三个 {"command":"swipe","vindex":"二十三","direction":"下"}
帮我打开第五十三个 {"command":"click","vindex":"五十三","mode":0}
输入我来向你求婚到第二十九个 {"command":"input_text","vindex":"二十九","text":"我来向你求婚","mode":0}
帮我点击第三十二个 {"command":"click","vindex":"三十二","mode":0}
打开第三十一个 {"command":"click","vindex":"三十一","mode":0}
向第二个尾部输入现在就没有理由再要求你给我更多就这么简单 {"command":"input_text","vindex":"二","text":"现在就没有理由再要求你给我更多就这么简单","mode":0}
查看第三十二个 {"command":"click","vindex":"三十二","mode":0}
向第五十一个中输入对 {"command":"input_text","vindex":"五十一","text":"对","mode":0}
向第四十九个尾部添加还用说当然没有了 {"command":"input_text","vindex":"四十九","text":"还用说当然没有了","mode":0}
向第五十六个尾部添加10分钟一打 {"command":"input_text","vindex":"五十六","text":"10分钟一打","mode":0}
帮我向右移动第四十一个 {"command":"swipe","vindex":"四十一","direction":"右"}
添加亲热到第五十二个 {"command":"input_text","vindex":"五十二","text":"亲热","mode":0}
给我查看第一个 {"command":"click","vindex":"一","mode":0}
帮我添加是不是觉得婚姻不幸到第十三个 {"command":"input_text","vindex":"十三","text":"是不是觉得婚姻不幸","mode":0}
请输入正常什么呀到第五十五个 {"command":"input_text","vindex":"五十五","text":"正常什么呀","mode":0}
向第二十三个中输入并且当天晚上发生了什么 {"command":"input_text","vindex":"二十三","text":"并且当天晚上发生了什么","mode":0}
给我输入你拉倒我告诉你职高普高这分数进去都是垫底到第十四个 {"command":"input_text","vindex":"十四","text":"你拉倒我告诉你职高普高这分数进去都是垫底","mode":0}
看下第五个 {"command":"click","vindex":"五","mode":0}
左滑第十五个 {"command":"swipe","vindex":"十五","direction":"左"}
向第二十六个尾部输入那行 {"command":"input_text","vindex":"二十六","text":"那行","mode":0}
向左滑动第四十九个 {"command":"swipe","vindex":"四十九","direction":"左"}
进入第五个 {"command":"click","vindex":"五","mode":0}
向第二十二个尾部添加还不错啊 {"command":"input_text","vindex":"二十二","text":"还不错啊","mode":0}
进入第十八个 {"command":"click","vindex":"十八","mode":0}
帮我把第二十九个向左滑 {"command":"swipe","vindex":"二十九","direction":"左"}
请看下第八个 {"command":"click","vindex":"八","mode":0}
帮我向第十八个尾部添加好好挣钱不能再让你爸大哥明玉瞧不起咱们 {"command":"input_text","vindex":"十八","text":"好好挣钱不能再让你爸大哥明玉瞧不起咱们","mode":0}
按一下第三十八个 {"command":"click","vindex":"三十八","mode":0}
给我输入不会怎么会呢到第四十四个 {"command":"input_text","vindex":"四十四","text":"不会怎么会呢","mode":0}
向第十八个尾部添加倒倒 {"command":"input_text","vindex":"十八","text":"倒倒","mode":0}
请添加1969年7月7号到第三十七个 {"command":"input_text","vindex":"三十七","text":"1969年7月7号","mode":0}
向第五十四个中输入不赡养老人 {"command":"input_text","vindex":"五十四","text":"不赡养老人","mode":0}
下滑第四十四个 {"command":"swipe","vindex":"四十四","direction":"下"}
向第十六个中输入出了国 {"command":"input_text","vindex":"十六","text":"出了国","mode":0}
向第四十二个尾部输入没空 {"command":"input_text","vindex":"四十二","text":"没空","mode":0}
请查看第五十个 {"command":"click","vindex":"五十","mode":0}
向第五十四个尾部输入我坚决反对 {"command":"input_text","vindex":"五十四","text":"我坚决反对","mode":0}
第六个往上 {"command":"swipe","vindex":"六","direction":"上"}
第四十个点击 {"command":"click","vindex":"四十","mode":0}
请进入第四十三个 {"command":"click","vindex":"四十三","mode":0}
点击第四十一个 {"command":"click","vindex":"四十一","mode":0}
请向第五十九个尾部输入你拿的时候你别摔了 {"command":"input_text","vindex":"五十九","text":"你拿的时候你别摔了","mode":0}
向第三十九个尾部添加着急想半天就找谁了 {"command":"input_text","vindex":"三十九","text":"着急想半天就找谁了","mode":0}
添加也好到第二十七个 {"command":"input_text","vindex":"二十七","text":"也好","mode":0}
请查看第四十个 {"command":"click","vindex":"四十","mode":0}
给我向第四十四个尾部添加还能做回原来这样吗 {"command":"input_text","vindex":"四十四","text":"还能做回原来这样吗","mode":0}
给我向右移动第五十二个 {"command":"swipe","vindex":"五十二","direction":"右"}
帮我输入我准备拿好茶叶接待他来到第二十六个 {"command":"input_text","vindex":"二十六","text":"我准备拿好茶叶接待他来","mode":0}
帮我向左移动第二十个 {"command":"swipe","vindex":"二十","direction":"左"}
看下第五个 {"command":"click","vindex":"五","mode":0}
看下第十一个 {"command":"click","vindex":"十一","mode":0}
给我向第十一个尾部输入这些书是给学有余力的人看的 {"command":"input_text","vindex":"十一","text":"这些书是给学有余力的人看的","mode":0}
第十八个点击 {"command":"click","vindex":"十八","mode":0}
向第三十七个中输入导致我们院里好多女孩都喜欢他呢 {"command":"input_text","vindex":"三十七","text":"导致我们院里好多女孩都喜欢他呢","mode":0}
看下第三十一个 {"command":"click","vindex":"三十一","mode":0}
请添加苏家就算齐了到第十七个 {"command":"input_text","vindex":"十七","text":"苏家就算齐了","mode":0}
添加我要全面考察一下到第三十七个 {"command":"input_text","vindex":"三十七","text":"我要全面考察一下","mode":0}
给我第五十四个左滑 {"command":"swipe","vindex":"五十四","direction":"左"}
给我查看第三十九个 {"command":"click","vindex":"三十九","mode":0}
帮我把第十七个向右滑 {"command":"swipe","vindex":"十七","direction":"右"}
请查看第二十六个 {"command":"click","vindex":"二十六","mode":0}
请向第四十五个尾部输入这个意思你要是再找一个人 {"command":"input_text","vindex":"四十五","text":"这个意思你要是再找一个人","mode":0}
第六个点击 {"command":"click","vindex":"六","mode":0}
按一下第三十七个 {"command":"click","vindex":"三十七","mode":0}
帮我第八个往左 {"command":"swipe","vindex":"八","direction":"左"}
向第三十四个尾部输入我一出租司机我就不能说个价值观 {"command":"input_text","vindex":"三十四","text":"我一出租司机我就不能说个价值观","mode":0}
向第五十五个尾部输入三不违法 {"command":"input_text","vindex":"五十五","text":"三不违法","mode":0}
向第二十八个中输入韩文静 {"command":"input_text","vindex":"二十八","text":"韩文静","mode":0}
向左滑动第十四个 {"command":"swipe","vindex":"十四","direction":"左"}
帮我查看第三十一个 {"command":"click","vindex":"三十一","mode":0}
向第二十四个尾部添加还真让你猜对了 {"command":"input_text","vindex":"二十四","text":"还真让你猜对了","mode":0}
向第四十二个中输入我家老头起的 {"command":"input_text","vindex":"四十二","text":"我家老头起的","mode":0}
查看第五十一个 {"command":"click","vindex":"五十一","mode":0}
请打开第三十九个 {"command":"click","vindex":"三十九","mode":0}
请添加前两天不知道怎么回事到第十五个 {"command":"input_text","vindex":"十五","text":"前两天不知道怎么回事","mode":0}
把第五十三个向右滑 {"command":"swipe","vindex":"五十三","direction":"右"}
向第三十一个尾部输入不过可能会有点不中听 {"command":"input_text","vindex":"三十一","text":"不过可能会有点不中听","mode":0}
点击第四十六个 {"command":"click","vindex":"四十六","mode":0}
向右移动第三十八个 {"command":"swipe","vindex":"三十八","direction":"右"}
请按一下第十个 {"command":"click","vindex":"十","mode":0}
帮我向第三十三个中输入就是我这身我是不是得换一下 {"command":"input_text","vindex":"三十三","text":"就是我这身我是不是得换一下","mode":0}
帮我输入好谢谢你到第五十八个 {"command":"input_text","vindex":"五十八","text":"好谢谢你","mode":0}
下滑第五十九个 {"command":"swipe","vindex":"五十九","direction":"下"}
向第四十一个中输入我们俩是在我在北京工作的时候在酒吧里认识 {"command":"input_text","vindex":"四十一","text":"我们俩是在我在北京工作的时候在酒吧里认识","mode":0}
请输入我下来遛个弯啊到第三十三个 {"command":"input_text","vindex":"三十三","text":"我下来遛个弯啊","mode":0}
请看下第四个 {"command":"click","vindex":"四","mode":0}
给我向第四十一个尾部添加所以我才会有今天 {"command":"input_text","vindex":"四十一","text":"所以我才会有今天","mode":0}
添加守着夕阳喝杯小酒到第七个 {"command":"input_text","vindex":"七","text":"守着夕阳喝杯小酒","mode":0}
向第三十八个尾部添加你生的他难受 {"command":"input_text","vindex":"三十八","text":"你生的他难受","mode":0}
给我查看第二十三个 {"command":"click","vindex":"二十三","mode":0}
帮我输入我买回来你挑你抓紧点到第九个 {"command":"input_text","vindex":"九","text":"我买回来你挑你抓紧点","mode":0}
第三十个点击 {"command":"click","vindex":"三十","mode":0}
给我第二十六个往上 {"command":"swipe","vindex":"二十六","direction":"上"}
输入怪不得我妈不让我出国到第十一个 {"command":"input_text","vindex":"十一","text":"怪不得我妈不让我出国","mode":0}
帮我输入那狗呢到第五十三个 {"command":"input_text","vindex":"五十三","text":"那狗呢","mode":0}
把第三十五个向上滑 {"command":"swipe","vindex":"三十五","direction":"上"}
第五十九个右滑 {"command":"swipe","vindex":"五十九","direction":"右"}
添加我找不着了到第五个 {"command":"input_text","vindex":"五","text":"我找不着了","mode":0}
向下移动第四十二个 {"command":"swipe","vindex":"四十二","direction":"下"}
输入我家老头起的到第二个 {"command":"input_text","vindex":"二","text":"我家老头起的","mode":0}
点击第二十九个 {"command":"click","vindex":"二十九","mode":0}
给我向左移动第四个 {"command":"swipe","vindex":"四","direction":"左"}
输入你答应过我一定洁身自好到第二十三个 {"command":"input_text","vindex":"二十三","text":"你答应过我一定洁身自好","mode":0}
添加我苏明玉就是第一罪人到第五十九个 {"command":"input_text","vindex":"五十九","text":"我苏明玉就是第一罪人","mode":0}
向第四十三个中输入看看小鱼 {"command":"input_text","vindex":"四十三","text":"看看小鱼","mode":0}
向第三个尾部输入你知道人是谁吗 {"command":"input_text","vindex":"三","text":"你知道人是谁吗","mode":0}
进入第四十三个 {"command":"click","vindex":"四十三","mode":0}
给我向第三个尾部输入咱把合同一签 {"command":"input_text","vindex":"三","text":"咱把合同一签","mode":0}
看下第三十四个 {"command":"click","vindex":"三十四","mode":0}
请查看第十一个 {"command":"click","vindex":"十一","mode":0}
向第二十一个尾部输入人 {"command":"input_text","vindex":"二十一","text":"人","mode":0}
帮我添加我明白了到第五十七个 {"command":"input_text","vindex":"五十七","text":"我明白了","mode":0}
向下移动第四十二个 {"command":"swipe","vindex":"四十二","direction":"下"}
请向下移动第三十七个 {"command":"swipe","vindex":"三十七","direction":"下"}
向第二十一个中输入要想有效果 {"command":"input_text","vindex":"二十一","text":"要想有效果","mode":0}
输入我跟你说个正经事到第二十二个 {"command":"input_text","vindex":"二十二","text":"我跟你说个正经事","mode":0}
请向右滑动第二十四个 {"command":"swipe","vindex":"二十四","direction":"右"}
给我向第五十五个尾部添加我也信冤有头债有主 {"command":"input_text","vindex":"五十五","text":"我也信冤有头债有主","mode":0}
请第五十六个往下 {"command":"swipe","vindex":"五十六","direction":"下"}
查看第十八个 {"command":"click","vindex":"十八","mode":0}
帮我输入别啰嗦了填到第十二个 {"command":"input_text","vindex":"十二","text":"别啰嗦了填","mode":0}
向第三十四个尾部添加他还真能吹什么时候成他的女人了 {"command":"input_text","vindex":"三十四","text":"他还真能吹什么时候成他的女人了","mode":0}
点击第二十一个 {"command":"click","vindex":"二十一","mode":0}
输入哪奇怪了到第二十七个 {"command":"input_text","vindex":"二十七","text":"哪奇怪了","mode":0}
给我把第四十七个向右滑 {"command":"swipe","vindex":"四十七","direction":"右"}
帮我按一下第四十六个 {"command":"click","vindex":"四十六","mode":0}
给我向下移动第二十七个 {"command":"swipe","vindex":"二十七","direction":"下"}
帮我向第十六个尾部输入我怎么没感觉 {"command":"input_text","vindex":"十六","text":"我怎么没感觉","mode":0}
请左滑第五个 {"command":"swipe","vindex":"五","direction":"左"}
向左移动第四十二个 {"command":"swipe","vindex":"四十二","direction":"左"}
查看第十一个 {"command":"click","vindex":"十一","mode":0}
帮我第六个往上 {"command":"swipe","vindex":"六","direction":"上"}
第四个上滑 {"command":"swipe","vindex":"四","direction":"上"}
向第四十九个中输入要不他们回来我都没法交代了 {"command":"input_text","vindex":"四十九","text":"要不他们回来我都没法交代了","mode":0}
帮我第五十五个点击 {"command":"click","vindex":"五十五","mode":0}
帮我向上移动第三十六个 {"command":"swipe","vindex":"三十六","direction":"上"}
按一下第四十八个 {"command":"click","vindex":"四十八","mode":0}
看下第三个 {"command":"click","vindex":"三","mode":0}
查看第十七个 {"command":"click","vindex":"十七","mode":0}
第五十二个点击 {"command":"click","vindex":"五十二","mode":0}
按一下第三十八个 {"command":"click","vindex":"三十八","mode":0}
向第十九个中输入我这不是为了我理想努力吗 {"command":"input_text","vindex":"十九","text":"我这不是为了我理想努力吗","mode":0}
向第五十个中输入其实我觉得你误会他了 {"command":"input_text","vindex":"五十","text":"其实我觉得你误会他了","mode":0}
帮我向第二十三个尾部添加路上咱们边走边说吧 {"command":"input_text","vindex":"二十三","text":"路上咱们边走边说吧","mode":0}
帮我进入第十三个 {"command":"click","vindex":"十三","mode":0}
查看第二十五个 {"command":"click","vindex":"二十五","mode":0}
向第二十五个中输入我们这边请 {"command":"input_text","vindex":"二十五","text":"我们这边请","mode":0}
